name,capacity_mw,primary_fuel,commissioning_year,State,Plant Name,Generation (kWh),Fuel Consumption for Electric Generation (MMBtu),Metric Tonnes of CO2 Emissions,emissions_per_KWh
sunnyvale city of wpcp,1.6,Waste,1997,CA,Sunnyvale City of WPCP,3950069,46473,2570.787192,0.000650821
sunrise power llc,605.4,Gas,2001.891972,CA,Sunrise Power LLC,2188614000,15534167,824405.7216,0.000376679
sunshine gas producers,23,Waste,2014,,,,,,
superior,64,Oil,1966,MI,Superior,96000,9865,721.7299474,0.00751802
superior landfill gas recovery,6.4,Waste,2009,,,,,,
sutter energy center,636,Gas,2001,CA,Sutter Energy Center,653073000,5050009,268006.4089,0.000410377
suwannee river,183.6,Gas,1980,FL,Suwannee River,64399000,891777,47991.39697,0.00074522
swampy acres,8.4,Oil,2008.809524,,,,,,
sweatt,41.9,Gas,1971,MS,Sweatt,6202000,97407,5169.436386,0.000833511
sweeny cogen facility,572,Gas,1998,TX,Sweeny Cogen Facility,1704180962,8430252,1455433.382,0.000854037
swift creek chemical complex,21,Other,1980,FL,Swift Creek Chemical Complex,6762834,29582,14871.39958,0.002198989
sycamore ia,157.6,Gas,1974,IA,Sycamore (IA),1327000,34091,1809.225783,0.001363395
sycamore wi,41.6,Gas,1969.701923,WI,Sycamore (WI),-216000,750,39.80286109,-0.000184273
sycamore cogeneration,300,Gas,1988,CA,Sycamore Cogeneration,573204000,3683007,374066.5455,0.000652589
sycamore energy 1,5.4,Waste,2007.111111,,,,,,
syl laskin,116,Gas,1953,MN,Syl Laskin,19455000,281496,14939.12825,0.000767881
sylvarena,141,Gas,2003,MS,Sylvarena,199541000,2016273,107004.5788,0.000536254
synata hugoton,21.9,Gas,2014,,,,,,
syracuse  2,4,Gas,1969.5,NE,Syracuse # 2,-341000,327,22.27614209,-6.53E-05
t b simon power plant,99.3,Gas,1988.497482,MI,T B Simon Power Plant,306358346,1959810,352567.322,0.001150833
t h wharton,1189.9,Gas,1973.788133,TX,T H Wharton,957641295,10138597,538060.224,0.00056186
t j labbe electric generating,100.8,Gas,2005,LA,T J Labbe Electric Generating,16122000,217524,11544.10341,0.000716047
teco chp1,48,Gas,2010,TX,TECO CHP-1,70539000,364262,39418.84308,0.000558823
tes filer city station,70,Coal,1990,MI,TES Filer City Station,437082668,4758482,490732.2119,0.001122745
thums,57.4,Gas,2003,CA,THUMS,309014000,3224345,171117.5415,0.000553753
tnsg north plant,25.7,Gas,2011.929961,AK,TNSG North Plant,56413000,749414,39771.76178,0.000705011
tnsg south plant,7.8,Gas,2001.820513,AK,TNSG South Plant,-162000,3316,175.9817165,-0.001086307
ts power plant,242,Coal,2008,NV,TS Power Plant,1049081000,10801226,1049320.886,0.001000229
tsgt mobile generator 15,2,Oil,2010,,,,,,
tva southaven combined cycle,903.9,Gas,2003,MS,TVA Southaven Combined Cycle,3433556000,23662887,1255800.806,0.000365744
taconite harbor energy center,168,Coal,1957,,,,,,
taft 26c cogen,12.4,Gas,1982,CA,Taft 26C Cogen,79317000,338360,64869.85387,0.000817856
taft cogeneration facility,894.2,Gas,2002,LA,Taft Cogeneration Facility,5735330807,38607459,2285482.725,0.000398492
tait electric generating station,376,Gas,2002,OH,Tait Electric Generating Station,856351000,11135721,591130.6999,0.00069029
tajiguas plant,3,Waste,2000,,,,,,
talbot county energy,726,Gas,2002.333333,GA,Talbot County Energy,492906000,5797352,307747.4774,0.000624353
talenenergy martin creek llc allentown,64,Oil,1967,PA,TalenEnergy Martin Creek LLC Allentown,2293000,35080,2566.476083,0.001119266
talenenergy martins creek,1790.2,Gas,1975.750866,PA,TalenEnergy Martins Creek,422146000,5592073,297888.6449,0.000705653
talenenergy martins creek llc fishbach,37,Oil,1969,PA,TalenEnergy Martins Creek LLC Fishbach,41000,734,53.69992716,0.001309754
talenenergy martins creek llc harrisburg,48,Oil,1967,PA,TalenEnergy Martins Creek LLC Harrisburg,216000,3433,251.1605585,0.00116278
talenenergy martins creek llc harwood,32,Oil,1967,PA,TalenEnergy Martins Creek LLC Harwood,48000,1123,82.15942534,0.001711655
talenenergy martins creek llc jenkins,32,Oil,1969,PA,TalenEnergy Martins Creek LLC Jenkins,54000,1184,86.62222582,0.001604115
talenenergy martins creek llc lock haven,18.5,Oil,1969,PA,TalenEnergy Martins Creek LLC Lock Haven,0,227,16.60747066,inf
talenenergy martins creek llc west shore,37,Oil,1969,PA,TalenEnergy Martins Creek LLC West Shore,84000,1747,127.8116795,0.001521568
talenenergy martins creek llc williamsport,32,Oil,1967,,,,,,
talenenergy montour,1775.1,Coal,1972.02552,PA,TalenEnergy Montour,1055951000,11675134,1086501.647,0.001028932
tamarack energy partnership,6.2,Waste,1983,,,,,,
tangier,2.4,Oil,1994,VA,Tangier,395000,4088,299.0807932,0.000757167
tanguisson 1 pruvient,53,Oil,1976,,,,,,
tanner street generation,85,Gas,2002.898824,MA,Tanner Street Generation,13281000,118979,6382.077177,0.000480542
tasley,27,Oil,1972,VA,Tasley,656000,9949,727.8754432,0.001109566
tate  lyle decatur plant cogen,64.8,Coal,1989,IL,Tate & Lyle Decatur Plant Cogen,176897855,830726,469816.2255,0.002655862
taylor,8,Waste,2007.5,,,,,,
taylor farms salinas,1.1,Gas,2012,CA,Taylor Farms Salinas,4196000,31142,1652.720933,0.00039388
tazewell gas recovery,2.4,Waste,1992.333333,,,,,,
teche,390.7,Gas,1975.32045,LA,Teche,990602000,11254520,597282.7949,0.000602949
tecumseh,7,Oil,1970.728571,NE,Tecumseh,57000,642,42.24795327,0.000741192
tecumseh energy center,82,Coal,1957,,,,,,
telogia power,14,Waste,1986,,,,,,
temple segf,16,Gas,1993,PA,Temple SEGF,1440000,18315,971.9858677,0.00067499
tenaska central alabama generating stn,927.1,Gas,2003,AL,Tenaska Central Alabama Generating Stn,4832746000,35644064,1891647.637,0.000391423
tenaska frontier generation station,939.7,Gas,2000,TX,Tenaska Frontier Generation Station,3993421000,28091263,1490816.852,0.000373318
tenaska gateway generating station,939.6,Gas,2001,TX,Tenaska Gateway Generating Station,3903757000,28721659,1524272.271,0.000390463
tenaska georgia generation facility,1099.2,Gas,2001.5,GA,Tenaska Georgia Generation Facility,127139000,1363864,72893.25894,0.000573335
tenaska lindsay hill generating station,939.4,Gas,2002,AL,Tenaska Lindsay Hill Generating Station,1723985000,12903494,684794.6389,0.000397216
tenaska virginia generating station,946.1,Gas,2004,VA,Tenaska Virginia Generating Station,5938030000,42428808,2252512.698,0.000379337
tenet hospital,4.2,Gas,1987,TX,Tenet Hospital,68000,465,64.23506273,0.000944633
tennessee eastman operations,194.3,Coal,1970.02316,TN,Tennessee Eastman Operations,1125300142,6102377,2687942.391,0.002388645
terry bundy generating station,216.3,Gas,2003.662506,NE,Terry Bundy Generating Station,171879075,1767195,93813.73445,0.000545812
tesoro hawaii,20,Oil,1983,HI,Tesoro Hawaii,166179580,771435,170997.6787,0.001028993
tesoro kenai cogeneration plant,8.6,Gas,1988,AK,Tesoro Kenai Cogeneration Plant,68210000,264702,43632.74545,0.000639683
tesoro mandan cogeneration plant,7.5,Gas,1955.333333,ND,Tesoro Mandan Cogeneration Plant,10007926,136822,61655.42788,0.00616066
tesoro slc cogeneration plant,25,Gas,2004,UT,Tesoro SLC Cogeneration Plant,177731060,2026431,110004.0694,0.000618936
tessman road,9.8,Waste,2004.714286,,,,,,
texas city plant union carbide,45,Other,1996,,,,,,
texas city power plant,450,Gas,1987,TX,Texas City Power Plant,1749994000,10302000,1092481.865,0.000624277
texas petrochemicals,35,Gas,1972,TX,Texas Petrochemicals,201254931,822019,602408.0235,0.002993258
the allen hospital,1,Oil,2009,NY,The Allen Hospital,9000,237,17.3390773,0.001926564
the andersons albion ethanol llc,10.1,Gas,2014.821782,MI,The Andersons Albion Ethanol LLC,64845860,313739,90233.776,0.001391512
the methodist hospital  gas turbine,5,Gas,2010,,,,,,
theodore cogen facility,317.4,Gas,2001,AL,Theodore Cogen Facility,1551817000,7030412,573771.5632,0.000369742
thermal energy development part lp,23,Waste,1990,,,,,,
thermal kem,2.9,Oil,2003,SC,Thermal Kem,3000,1710,125.1047349,0.041701578
thermo greeley,37,Gas,1996,,,,,,
thetford,100.8,Gas,1970,,,,,,
thief river falls,6.5,Oil,1959.615385,MN,Thief River Falls,21000,232,16.97327398,0.000808251
thomas a smith energy facility,1192,Gas,2002,GA,Thomas A Smith Energy Facility,6325926000,46879448,2487914.875,0.000393289
thomas c ferguson,574.6,Gas,2014,TX,Thomas C Ferguson,3217710000,21827976,1158421.195,0.000360014
thomas fitzhugh,185,Gas,1990.243243,AR,Thomas Fitzhugh,254918000,2376873,126141.7945,0.000494833
thomas hill,1181.7,Coal,1976.828214,MO,Thomas Hill,8122252000,79722307,7437578.543,0.000915704
thomas m knott cogen facility,1.4,Gas,2003,,,,,,
thomson reuters campus bldg ad,14,Oil,1999,MN,Thomson Reuters Campus Bldg A-D,242000,1553,113.6185107,0.000469498
thomson reuters data center bldg es101,1.2,Oil,2009,MN,Thomson Reuters Data Center Bldg ES101,18000,208,15.21741805,0.000845412
thomson reuters data center bldg h,8,Oil,2007,MN,Thomson Reuters Data Center Bldg H,122000,1198,87.64647512,0.000718414
thorne bay plant,1,Oil,1994.2,AK,Thorne Bay Plant,-11000,29,2.121659247,-0.000192878
thornridge high school,1,Gas,1996,,,,,,
thornwood high school,1.4,Gas,1996,,,,,,
ticona polymers inc,44.2,Gas,1989,TX,Ticona Polymers Inc,269498000,3065092,184861.0449,0.000685946
tiger bay,278.1,Gas,1997,FL,Tiger Bay,711281000,5560493,295098.0406,0.000414883
tilton,188,Gas,1999,IL,Tilton,73743000,754054,40018.00882,0.000542669
timberline trail gas recovery,4,Waste,2006.4,,,,,,
tipton,8.6,Gas,1996.581395,IA,Tipton,104000,733,53.38568431,0.000513324
titus,36,Oil,1969,PA,Titus,-1245000,949,69.42946985,-5.58E-05
tiverton power plant,272.5,Gas,2000,RI,Tiverton Power Plant,1140160000,8177619,433990.1774,0.00038064
toca plant,2.8,Gas,1975.428571,,,,,,
togiak,2.4,Oil,2004.416667,AK,Togiak,2961000,27748,2030.062096,0.0006856
tok,7.6,Oil,1997.776316,AK,Tok,9157000,88848,6500.178649,0.000709859
toksook bay,1.7,Oil,2005,AK,Toksook Bay,3555000,29200,2070.298781,0.000582363
tolk,1135.8,Coal,1983.5,TX,Tolk,2741753000,30182256,2915228.621,0.001063272
tolna,54,Oil,1972,PA,Tolna,1700000,29113,2129.926402,0.001252898
tom g smith,98.7,Gas,1973.518744,FL,Tom G Smith,5054000,85483,4647.240509,0.000919517
toray plastic americas chp plant,20,Gas,2009.875,RI,Toray Plastic America's CHP Plant,145547640,1445906,82722.53142,0.000568354
torrington terminal,21.8,Oil,1967,CT,Torrington Terminal,95000,1535,110.9815068,0.001168226
tower,21.3,Oil,1971,MI,Tower,56000,1140,83.40315662,0.001489342
tracy,1032.9,Gas,2000.273018,NV,Tracy,4248303000,35299469,1873359.815,0.000440967
tracy combined cycle power plant,336.1,Gas,2007.479917,CA,Tracy Combined Cycle Power Plant,864402000,7119932,377858.2191,0.000437133
traer east,4,Oil,2004,IA,Traer East,-142000,306,22.38716309,-0.000157656
traer main,4.1,Oil,1966.097561,IA,Traer Main,-7000,1040,68.93498537,-0.009847855
traer south,2,Oil,2001,IA,Traer South,-92000,300,21.94819911,-0.000238567
trail ridge landfill gas recovery,9.6,Waste,2009,,,,,,
transjordan generating station,4.8,Waste,2009,,,,,,
transalta centralia generation,1459.8,Coal,1973,WA,Transalta Centralia Generation,7154907000,79453810,7411135.839,0.001035812
transamerica pyramid,1,Gas,2007,CA,Transamerica Pyramid,2312000,12792,17408.39161,0.007529581
treasure coast energy center,411.4,Gas,2008,FL,Treasure Coast Energy Center,1787745000,12944579,686975.0397,0.000384269
trenton channel,535.5,Coal,1968,MI,Trenton Channel,1397046000,16360733,1587819.296,0.001136555
trenton north,13.5,Oil,1974.2,MO,Trenton North,90000,1011,73.965431,0.000821838
trenton south,14,Oil,2001.714286,MO,Trenton South,81000,1005,73.52646702,0.000907734
trigen st louis,38,Gas,1999.478947,MO,Trigen St. Louis,19528000,104956,14039.05288,0.000718919
trimble county,2594.1,Coal,2003.106704,KY,Trimble County,8823367000,88300755,7840840.46,0.000888645
trinidad co,9.2,Oil,1985.369565,CO,Trinidad (CO),47000,431,31.53224606,0.000670899
trinidad tx,243.3,Gas,1965.016441,TX,Trinidad (TX),65586000,858919,45588.68929,0.000695098
triton east and west cogen,3.6,Gas,2001,IL,Triton East and West Cogen,571000,3560,197.3691205,0.000345655
tropicana products bradent,46.8,Gas,1990,FL,Tropicana Products Bradent,191409000,818653,114219.2454,0.000596729
troy energy llc,795.6,Gas,2002,OH,Troy Energy LLC,401519000,4254951,226354.6125,0.000563746
truman,6.2,Oil,1992.032258,MN,Truman,53000,661,48.35919871,0.000912438
tullytown,1.6,Waste,2013,,,,,,
tulsa,348.2,Gas,1957.235497,OK,Tulsa,333257000,4663467,247492.4389,0.000742647
tulsa lfg llc,3.2,Waste,2012,,,,,,
tunnel,20.5,Oil,1965.585366,CT,Tunnel,267000,4182,296.5064899,0.001110511
turnkey landfill gas recovery,9.2,Waste,1996,,,,,,
tuscola station,18,Gas,1969,IL,Tuscola Station,27576936,119491,135985.2012,0.004931121
twin bridges lfgte,12.8,Waste,2004.25,,,,,,
twin rivers paper co llc,22,Other,1987,,,,,,
two pine landfill gas recovery,4.8,Waste,2006,,,,,,
ty cooke,138.1,Gas,1972.283128,,,,,,
ua central utility plant,5.6,Gas,2016,AR,UA Central Utility Plant,42074000,478523,25426.27994,0.000604323
uci facilities management central plant,19,Gas,2007,CA,UCI Facilities Management Central Plant,99505000,530487,64423.47805,0.00064744
uci fuel cell,1.4,Gas,2016,CA,UCI Fuel Cell,7451000,50176,3799.368837,0.000509914
ucla so campus cogen project,43,Gas,1993,CA,UCLA So Campus Cogen Project,280723590,1318794,201477.8902,0.000717709
uconn cogen facility,25.7,Gas,2006,CT,UCONN Cogen Facility,121961000,731759,81080.04219,0.000664803
udr glastonbury fuel cell,3.4,Gas,2016,CT,UDR Glastonbury Fuel Cell,19474000,153144,8127.425811,0.000417348
ui rcp bridgeport seaside,5,Gas,2015.44,CT,UI RCP Bridgeport Seaside,15451000,150784,8002.179475,0.000517907
ui rcp new haven fuel cell,2.8,Gas,2015,CT,UI RCP New Haven Fuel Cell,18045000,178006,9446.864121,0.000523517
ui rcp woodbridge fc,2.8,Gas,2017,CT,UI RCP Woodbridge FC,18697000,161346,8562.7099,0.000457972
umcp chp plant,27.4,Gas,2003,MD,UMCP CHP Plant,69872000,232922,64714.53412,0.000926187
uncch lfg facility,1,Waste,2013,,,,,,
unh 79 mw plant,7.9,Waste,2006,NH,UNH 7.9 MW Plant,11623627,47910,8087.783191,0.000695805
us borax,48.2,Gas,1984,CA,US Borax,296532000,1508648,213061.5312,0.000718511
us gsa heating and transmission,10.8,Gas,2004,DC,US GSA Heating and Transmission,25875380,665636,49262.62133,0.001903841
us gypsum oakfield,5.8,Gas,1986,NY,US Gypsum Oakfield,16837380,91597,13769.56098,0.000817797
us magnesium,48,Gas,1972,UT,US Magnesium,157800140,1801833,253687.4623,0.00160765
uts sj1 llc,1.5,Gas,2012,,,,,,
uw madison charter street plant,11,Gas,1965,WI,UW Madison Charter Street Plant,0,213798,185734.0574,inf
ubly,12.4,Oil,1984.177419,MI,Ubly,10780,175,11.57761503,0.00107399
unalakleet,2,Oil,2010.5,AK,Unalakleet,3166000,31528,2306.609405,0.000728556
unalaska power module,1.1,Oil,1993,AK,Unalaska Power Module,1194620,12362,904.4121247,0.000757071
union carbide seadrift cogen,168,Gas,1986.369048,TX,Union Carbide Seadrift Cogen,722838804,5778645,436929.3268,0.000604463
union county resource recovery,45,Waste,1994,NJ,Union County Resource Recovery,294400000,5209977,217205.9116,0.000737792
union power station,2428,Gas,2003,AR,Union Power Station,11267495000,81860945,4344399.763,0.000385569
union renewable energy facility,3.2,Waste,2015,,,,,,
unionville,53.2,Oil,1976,,,,,,
unionville city of,8.7,Oil,1973.517241,MO,Unionville City of,7000,84,6.145495751,0.000877928
unisea g 2,17.5,Oil,1992.514286,AK,Unisea G 2,29497328,306247,22405.23378,0.000759568
united hospital,4.8,Oil,1992,MN,United Hospital,14000,300,21.94819911,0.001567729
univ minnesota chp plant,21,Gas,2017,MN,Univ Minnesota CHP Plant,132900000,1540151,82330.60167,0.000619493
univ of calif santa cruz cogeneration,4.4,Gas,2015,CA,Univ of Calif Santa Cruz Cogeneration,32039000,206152,18296.41997,0.000571067
univ of massachusetts medical center,17.5,Gas,1998.714286,MA,Univ of Massachusetts Medical Center,65310000,553531,66407.2464,0.001016801
univ of nc chapel hill cogen facility,32,Coal,1993,NC,Univ of NC Chapel Hill Cogen Facility,51408000,334168,170263.211,0.003311998
univ of oregon central power station,11,Gas,2013,OR,Univ of Oregon Central Power Station,783760,8354,671.9829161,0.000857384
univ of san francisco cogen,1.5,Gas,1987,CA,Univ of San Francisco Cogen,9285000,77715,6331.149225,0.000681869
university park north,726,Gas,2002,IL,University Park North,522159000,6401927,339753.3481,0.00065067
university park south,353.4,Gas,2001,IL,University Park South,211479000,2684345,142459.4815,0.000673634
university of alaska fairbanks,22.6,Coal,1986.814159,AK,University of Alaska Fairbanks,28328000,185426,90405.59458,0.003191386
university of arizona  biosphere 2,3.1,Gas,1995.16129,AZ,University of Arizona - Biosphere 2,20000,355,22.29553226,0.001114777
university of california san diego,35.5,Gas,2002.056338,CA,University of California San Diego,229302000,1474186,135238.3934,0.000589783
university of colorado,33,Gas,1992,CO,University of Colorado,5964470,34762,5880.527767,0.000985926
university of florida,54.2,Gas,1994,FL,University of Florida,327045000,2808720,149060.1227,0.000455779
university of illinois abbott power plt,85,Gas,1987.652941,IL,University of Illinois Abbott Power Plt,167016314,970037,164582.27,0.000985426
university of illinois cogen facility,59.9,Gas,1999.859766,IL,University of Illinois Cogen Facility,121546460,604539,76733.7673,0.000631312
university of iowa main power plant,30.7,Coal,1981.355049,IA,University of Iowa Main Power Plant,33672511,178453,122127.565,0.003626922
university of michigan,44.5,Gas,1980.606742,MI,University of Michigan,138575000,619518,171206.3349,0.001235478
university of northern iowa,7.5,Coal,1982,IA,University of Northern Iowa,20072000,147468,56807.57392,0.00283019
university of notre dame,28.8,Coal,1982.277778,IN,University of Notre Dame,86925067,481350,142571.4574,0.001640165
university of oklahoma,18.6,Gas,1975.392473,OK,University of Oklahoma,14000,68,7662.687605,0.547334829
university of rochester,25.4,Gas,2005,NY,University of Rochester,39037650,217962,126486.7957,0.003240123
university of tennessee steam plant,5,Gas,1996,TN,University of Tennessee Steam Plant,31620000,165981,19462.32538,0.000615507
university of texas at dallas,3.5,Gas,1980,,,,,,
university of washington power plant,15,Oil,1987.8,WA,University of Washington Power Plant,7014250,30835,86461.83234,0.012326597
upper kalskag,1.1,Oil,2005,AK,Upper Kalskag,1497000,14559,1058.404802,0.000707017
urquhart,758.9,Gas,1983.816708,SC,Urquhart,1715365000,14043108,745580.6167,0.000434648
utility plants section,20,Coal,1963.5,AK,Utility Plants Section,71202000,639053,287003.4885,0.004030835
uwharrie mountain renewable,9.6,Waste,2014,,,,,,
v h braunig,1138,Gas,1977.557118,TX,V H Braunig,1019981000,11531582,612043.6245,0.000600054
vmea 1 credit gen,13.2,Oil,1992.878788,VA,VMEA 1 Credit Gen,386000,1309,95.76730879,0.000248102
vmea peaking gen,6.4,Oil,1992.5,VA,VMEA Peaking Gen,191000,1297,94.88938082,0.000496803
valdez,8.2,Oil,1974.536585,AK,Valdez,3104000,23021,1684.231639,0.0005426
valdez cogen,5.3,Oil,2000,AK,Valdez Cogen,17823000,172001,22940.12286,0.001287108
valdosta water treatment plant,3.4,Oil,2000.5,GA,Valdosta Water Treatment Plant,0,11323,828.3981951,inf
valencia,108,Gas,1997.5,AZ,Valencia,27404000,313208,16622.09935,0.000606557
valencia energy facility,159.5,Gas,2008,NM,Valencia Energy Facility,80233000,936482,49699.55061,0.00061944
valenite,2.9,Oil,2003,SC,Valenite,3000,1710,125.1047349,0.041701578
valero refinery cogeneration unit 1,51,Gas,2002,CA,Valero Refinery Cogeneration Unit 1,276082756,1257965,156322.5527,0.000566216
valley ca,690.5,Gas,2002.824765,CA,Valley (CA),2241784000,16429387,871915.478,0.000388938
valley wi,274.7,Gas,1968.504914,WI,Valley (WI),379801000,3664076,417249.1568,0.001098599
valley queen cheese,4.5,Oil,2002.666667,SD,Valley Queen Cheese,16000,161,11.77886686,0.000736179
valmont,59.3,Gas,1973,CO,Valmont,2466000,53067,2816.291239,0.001142048
valmont combustion turbine project,142.2,Gas,2000.5,,,,,,
van sant station,45.1,Gas,1991,DE,Van Sant Station,4103000,1306,94.42277659,2.30E-05
vanderbilt university power plant,18.7,Gas,2012.058824,TN,Vanderbilt University Power Plant,110565000,480030,72574.73251,0.000656399
vandolah power station,728,Gas,2002,FL,Vandolah Power Station,809905000,8749563,464761.1958,0.000573847
vega baja,42,Gas,,,,,,,
venice,586,Gas,2004.687713,IL,Venice,27600000,320908,17030.74206,0.000617056
venice resources gas recovery,1.6,Waste,1992,,,,,,
veolia es blackfoot landfill facility,3.2,Waste,2009,,,,,,
veolia energy trenton lp,6,Gas,1984,,,,,,
vergennes 9,6.4,Oil,1949.03125,VT,Vergennes 9,29000,267,19.53389721,0.000673583
verizontorrance,1,Gas,2014,CA,Verizon-Torrance,6637000,57807,3067.845321,0.000462234
vermillion energy facility,692,Gas,2000,IN,Vermillion Energy Facility,99994000,1407603,74702.1689,0.000747067
vernon,30,Oil,1933,,,,,,
vernon boulevard,94,Gas,2001,NY,Vernon Boulevard,32038000,386284,20500.27786,0.000639874
versailles peaking,5.4,Oil,1999,OH,Versailles Peaking,132000,1313,96.05995144,0.000727727
verso paper quinnesec mich mill,56,Waste,1998,MI,Verso Paper Quinnesec Mich Mill,16203318,110715,33069.12705,0.002040886
vestaburg,23.7,Gas,1972,MI,Vestaburg,1177000,20357,1080.355791,0.000917889
victor j daniel jr,2229,Gas,1990.176671,MS,Victor J Daniel Jr,10355136000,81897556,5361853.042,0.000517796
victoria,376.9,Gas,1987.031308,TX,Victoria,1260976000,9811478,520699.8612,0.000412934
victoria texas plant,102.4,Gas,1987,TX,Victoria Texas Plant,505437000,2477600,331042.2531,0.000654962
vienna operations,180.6,Oil,1971.58804,MD,Vienna Operations,-494000,44762,3506.071977,-0.007097312
vieques epp,6,Oil,,,,,,,
viking,1,Oil,2003,,,,,,
viking energy of lincoln,18,Waste,1989,MI,Viking Energy of Lincoln,26610233,320714,27554.79295,0.001035496
viking energy of mcbain,18,Waste,1989,MI,Viking Energy of McBain,27365214,306396,26206.70536,0.000957665
villisca municipal power plant,4,Oil,2003,IA,Villisca Municipal Power Plant,15000,162,11.85202752,0.000790135
vinton,17.5,Oil,1972.977143,IA,Vinton,-88000,9753,601.4126459,-0.006834235
viola,1.8,Oil,2002,WI,Viola,-2000,0,0,0
virginia,26.2,Waste,1966.133588,MN,Virginia,22264741,966493,78942.10703,0.003545611
virginia beach,10.8,Waste,2001,VA,Virginia Beach,158054,1711,125.1778956,0.000791994
virginia city hybrid energy center,668,Coal,2012,VA,Virginia City Hybrid Energy Center,993046936,11668360,1086186.171,0.001093791
virginia tech power plant,6.3,Gas,1976,VA,Virginia Tech Power Plant,20569000,107289,83214.35513,0.00404562
vitro architectural glass pa,5,Oil,1986.4,PA,Vitro Architectural Glass (PA),37240,706,51.65142857,0.001386988
vitro flat glass llc,3.3,Oil,1992.151515,CA,Vitro Flat Glass LLC,0,51,3.731193849,inf
w a parish,4008.4,Coal,1974.716495,TX,W A Parish,14328218000,153622813,14363165.08,0.001002439
w h hill,37.1,Oil,1971.579515,HI,W H Hill,172345000,2332593,183786.6698,0.001066388
w h weatherspoon,163,Oil,1970.512883,NC,W H Weatherspoon,-118000,15035,1099.970579,-0.009321785
w h zimmer,1425.6,Coal,1991,OH,W H Zimmer,4136452722,39733919,3685214.216,0.000890912
w plant,4.6,Gas,2005,CA,W Plant,35038000,211693,19044.39534,0.000543535
w s lee,271.2,Gas,1978.115044,SC,W S Lee,5272034000,37104239,1969521.641,0.000373579
wa parish carbon capture plant,102.7,Gas,2013,TX,W.A. Parish Carbon Capture Plant,343230000,7476407,396776.519,0.001156008
wfec genco llc,90,Gas,2001,OK,WFEC GenCo LLC,134862000,1538307,81638.6931,0.00060535
wppi hartford dg,1.1,Oil,2005,WI,WPPI Hartford DG,7000,72,5.267567787,0.00075251
wabash valley power igcc,192,Gas,1995,IN,Wabash Valley Power IGCC,77628000,914927,48555.61638,0.000625491
wadham energy lp,29.1,Waste,1989,CA,Wadham Energy LP,735790,9846,522.5319603,0.000710165
wading river,238.5,Oil,1989,NY,Wading River,10763000,157704,11537.72931,0.001071981
wadsworth,5.4,Oil,1991,,,,,,
wahoo,14.2,Gas,1963.119718,NE,Wahoo,17000,174,9.696337964,0.000570373
waiau,474.6,Oil,1963.007796,HI,Waiau,1002196000,11107991,873275.004,0.000871361
waimea,7.5,Oil,1971.666667,HI,Waimea,964000,10250,749.896803,0.000777901
wake county lfg facility,7.2,Waste,2013.5,NC,Wake County LFG Facility,1699589,19688,1440.387147,0.000847491
wakefield,4.1,Gas,1959.02439,NE,Wakefield,5000,6,0.438963982,8.78E-05
wallingford energy,250,Gas,2001,CT,Wallingford Energy,105704000,1054988,55988.72108,0.000529675
walnut,49.8,Gas,1986,CA,Walnut,-255000,6460,383.5581096,-0.001504149
walnut creek energy park,500,Gas,2013,CA,Walnut Creek Energy Park,456237000,4471405,237299.6161,0.000520124
walnut energy center,300.6,Gas,2006,CA,Walnut Energy Center,1044133000,8130704,431500.3758,0.000413262
walter scott jr energy center,1648.3,Coal,1994.670691,IA,Walter Scott Jr Energy Center,8014203000,79582901,7618793.818,0.000950661
walton bainbridge power facility,80,Oil,2000,GA,Walton Bainbridge Power Facility,0,153,11.19358155,inf
walton county power llc,494.1,Gas,2001,GA,Walton County Power LLC,458156000,4740130,251560.9812,0.000549073
walton discover power facility,103,Gas,1999,AL,Walton Discover Power Facility,8937000,112326,5961.194899,0.000667024
walton street substation,6,Oil,2003,MO,Walton Street Substation,4000,35,2.56062323,0.000640156
wamego,15.2,Gas,1985.940789,KS,Wamego,-606000,3695,201.5197782,-0.000332541
wansley,1956.8,Coal,1977.567457,GA,Wansley,1911825847,21089580,1964742.126,0.001027678
wansley combined cycle,1239,Gas,2002,GA,Wansley Combined Cycle,8846763000,61949906,3287711.337,0.000371629
wansley unit 9,594.1,Gas,2004,GA,Wansley Unit 9,3069769000,21964882,1165686.863,0.000379731
wapsie valley creamery back up generator,1.8,Oil,2015,,,,,,
ward wtp,2,Oil,1999,NC,Ward WTP,107000,1149,84.06160259,0.000785622
warner lambert,12.4,Oil,2000.459677,MI,Warner Lambert,23801520,104098,17971.54756,0.000755059
warren,53.1,Oil,1972,PA,Warren,1930000,42646,2296.513094,0.001189903
warren county,1472.2,Gas,2015,VA,Warren County,8769572000,60231966,3196539.434,0.000364503
warren f sam beasley generation station,96,Gas,2007.3125,DE,Warren F Sam Beasley Generation Station,28607000,332091,17691.8729,0.000618446
warrick,822.8,Coal,1965.747934,IN,Warrick,4214527000,45606234,4464544.748,0.001059323
washington,8.9,Oil,1972.573034,KS,Washington,44000,538,34.69951479,0.000788625
washington city electric generation,6,Gas,2007.666667,UT,Washington City Electric Generation,989000,5639,299.2644449,0.000302593
washington county cogeneration facility,122.5,Gas,1999,AL,Washington County Cogeneration Facility,823931000,3644475,358686.6669,0.000435336
washington county power llc,795.6,Gas,2003,GA,Washington County Power LLC,223658000,2354339,124945.9042,0.000558647
washington energy facility,714.9,Gas,2002,OH,Washington Energy Facility,5060389000,36369456,1930144.54,0.000381422
